KeyPressed ,U,1501506850780Key Released , U,1501506850868
KeyPressed ,F,1501507077033Key Released , F,1501507077113
KeyPressed ,G,1501507077418Key Released , G,1501507077429
KeyPressed ,F,1501507077446KeyPressed ,D,1501507077457Key Released , F,1501507077469
Key Released , D,1501507077485
KeyPressed ,G,1501507077501Key Released , G,1501507077512
KeyPressed ,Y,1501594385017Key Released , Y,1501594385750
KeyPressed ,U,1501594385815Key Released , U,1501594385830
KeyPressed ,O,1501594386045Key Released , O,1501594386117
KeyPressed ,G,1501594947303Key Released , G,1501594947390
KeyPressed ,O,1501594947750Key Released , O,1501594947862
KeyPressed ,O,1501594947942Key Released , O,1501594948014
KeyPressed ,G,1501594950342Key Released , G,1501594950439
KeyPressed ,Escape,1501594952942KeyPressed ,G,1501595728614Key Released , G,1501595728725
KeyPressed ,R,1501595729019Key Released , R,1501595729069
KeyPressed ,E,1501595729429Key Released , E,1501595729557
KeyPressed ,A,1501595729973Key Released , A,1501595730101
KeyPressed ,T,1501595730300Key Released , T,1501595730396
KeyPressed ,D,1501595731301Key Released , D,1501595731381
KeyPressed ,E,1501595731477Key Released , E,1501595731604
KeyPressed ,A,1501595731797Key Released , A,1501595731925
KeyPressed ,H,1501595732813Key Released , H,1501595732909
KeyPressed ,G,1501595733229Key Released , G,1501595733317
KeyPressed ,J,1501595733341Key Released , J,1501595733469
KeyPressed ,G,1501595733493KeyPressed ,F,1501595733505Key Released , G,1501595733580
Key Released , F,1501595733603
KeyPressed ,S,1501595734045KeyPressed ,D,1501595734057Key Released , S,1501595734109
Key Released , D,1501595734252
KeyPressed ,F,1501595734308Key Released , F,1501595734524
KeyPressed ,F,1501595734597KeyPressed ,C,1501595734652Key Released , F,1501595734701
Key Released , C,1501595734764
KeyPressed ,V,1501595734868Key Released , V,1501595734940
KeyPressed ,C,1501595734964Key Released , C,1501595735069
KeyPressed ,X,1501595735173Key Released , X,1501595735428
KeyPressed ,F,1501595735508Key Released , F,1501595735653
KeyPressed ,G,1501595735673KeyPressed ,D,1501595735764Key Released , G,1501595735788
